,address,bike_stands,last_update,lat,lng,name,status
38,1 RUE LIARD - 75014 PARIS,14,2017-09-29 23:01:24,48.82122766331853,2.342104214557966,14013 - LIART AMIRAL MOUCHEZ,OPEN
39,RUE NECKER/ RUE DU PORT AUX LIONS - 94220 CHARENTON,26,2017-09-29 22:59:37,48.823963252286866,2.399998420132992,42201 - NECKER (CHARENTON),OPEN
40,44 BD DU TEMPLE - 75011 PARIS,45,2017-09-29 23:00:53,48.865745077094815,2.365312950780227,11038 - TEMPLE REPUBLIQUE,OPEN
41,2 RUE MONTCALM - 75018 PARIS,49,2017-09-29 22:59:41,48.891877957087424,2.335447427689794,18019 - MONTCALM,OPEN
42,"BERGES DE SEINE, SOUS LA PASSERELLE SENGHOR AU PORT DE SOLFERINO - 75007 PARIS",20,2017-09-29 23:00:46,48.86138,2.32442,00901 -PORT SOLFERINO (STATION MOBILE),OPEN
43,DEV 5 AVENUE EMILE ZOLA - 75015 PARIS,45,2017-09-29 22:56:09,48.84629491826888,2.278413912593796,15064 - JAVEL,OPEN
44,49 RUE GABRIEL LAME - 75012 PARIS,36,2017-09-29 23:00:27,48.835138050689515,2.385478486564838,12031 - LAME,OPEN
45,55 RUE BOUSSINGAULT - 75013 PARIS,47,2017-09-29 23:01:33,48.82603516605852,2.342176808004326,13021 - BOUSSINGAULT - TOLBIAC,OPEN
46,128 AVENUE GABRIEL PERI / AVENUE DU CAPITAINE GLAMER - 93400 SAINT OUEN,26,2017-09-29 23:02:11,48.90259224163092,2.330513564840273,34002 - PERI (SAINT OUEN),OPEN
47,46 RUE DE MONTMARTRE - 75002 PARIS,15,2017-09-29 22:54:39,48.865021945810085,2.345068440144759,02005 - MONTORGUEIL RUE MONTMARTRE VERSION 2,OPEN
48,32 RUE DE MADELEINE MICHELIS - 92200 NEUILLY,25,2017-09-29 22:55:56,48.8827499154713,2.27740638127753,22012 - MICHELIS (NEUILLY),OPEN
49,7 BIS RUE DE VINCENNES - 93100 MONTREUIL,56,2017-09-29 23:02:10,48.857702134021,2.43736866129498,31008 - VINCENNES (MONTREUIL),OPEN
50,87 RUE DE LA CONVENTION - 75015 PARIS,36,2017-09-29 22:59:02,48.84214433157821,2.285862655943941,15062 - BOUCICAUT,OPEN
51,2 RUE TIRON - 75004 PARIS,28,2017-09-29 22:56:49,48.85579663740384,2.357907882135172,04012 - ECOUFFES RIVOLI,OPEN
52,55 RUE TURBIGO - 75003 PARIS,31,2017-09-29 23:01:59,48.86558419108518,2.356278447633629,03011 - TURBIGO,OPEN
53,69 RUE SAINT BLAISE - 75020 PARIS,27,2017-09-29 22:58:12,48.8569749400317,2.408842457406961,20017 - RUE SAINT BLAISE,OPEN
54,195 RUE CHAMPIONNET - 75018 PARIS,33,2017-09-29 23:00:34,48.89405725132698,2.332199335980013,18028 - VAUVENARGUES,OPEN
55,GARE DE BERCY - ANGLE RUE CORBINEAU - 75012 PARIS,35,2017-09-29 22:55:19,48.83976,2.38241,12024 - GARE DE BERCY,OPEN
