address,bike_stands,last_update,lat,lng,name,status
29 RUE CHAZIERE,20,2017-09-29 23:39:33,45.775425,4.817888,4025 - CHAZIÈRE,OPEN
106 COURS VITTON (LYON 6ème),16,2017-09-29 23:32:29,45.770309,4.86196,10111 - CHARLES HERNU,OPEN
7 PLACE BENOIT CREPU,20,2017-09-29 23:37:25,45.757847,4.826103,5040 - PLACE CRÉPU,OPEN
6 RUE BANCEL,16,2017-09-29 23:31:41,45.748504,4.840505,7024 - BANCEL / CHEVREUL,OPEN
81 BVD DES Etats-Unis,20,2017-09-29 23:40:31,45.732366,4.865101,8029 - ETATS UNIS LEVIGNE,OPEN
Angle rue Hénon,22,2017-09-29 23:32:29,45.779786,4.827635,4004 - HÉNON,OPEN
16 BVD DE LA CROIX-ROUSSE,20,2017-09-29 23:33:08,45.772229,4.819389,1023 - CROIX ROUSSE / PERFETTI,OPEN
Cours Gambette - Prolongement rue Rachais,30,2017-09-29 23:32:35,45.751827,4.8526,7003 - GAMBETTA / GARIBALDI (FAR),OPEN
33 Boulevard Yves Farge 69007 Lyon,30,2017-09-29 23:40:19,45.743163,4.834165,7030 - QUARTIER GENERAL FRERE,OPEN
devant la résidence hôtelière à l'ouest de la place publique,28,2017-09-29 23:34:57,45.784812,4.856432,6042 - CITÉ INTERNATIONALE - RÉSIDENCE HÔTELIÈRE,OPEN
76 AV. LACASSAGNE,16,2017-09-29 23:31:29,45.749563,4.875934,3086 - FEUILLAT / LACASSAGNE,OPEN
12 RUE SANTOS DUMONT,17,2017-09-29 23:40:37,45.744447,4.860889,8025 - DUMONT / JOUVET,OPEN
69 RUE AUDIBERT ET LAVIROTTE,20,2017-09-29 23:31:31,45.73586,4.856888,8056 - DELORE / AUDIBERT ET LAVIROTTE,OPEN
Place de la Paix - En face de La Poste,20,2017-09-29 23:40:32,45.768023,4.831733,1031 - PLACE DE LA PAIX,OPEN
64 RUE JEUNET,18,2017-09-29 23:34:17,45.750205,4.792193,5045 - VALDO / RIVET,OPEN
