address,bike_stands,last_update,lat,lng,name,status
JULIEN BARTHELEMY - 9 RUE 3 FRERES BARTHELEMY,10,2017-09-29 23:41:13,43.292604598053984,5.384138435260716,6114-JULIEN BARTHELEMY,OPEN
151 LIBERATION - 151 BOULEVARD DE LA LIBERATION,10,2017-09-29 23:36:33,43.30143187524121,5.392179383331833,2222-151 LIBERATION,OPEN
SAINT CHARLES VOLTAIRE LIBERTE - BOULEVARD VOLTAIRE ANGLE BOULEVARD DE LA LIBERTE,17,2017-09-29 23:33:29,43.30236655745069,5.383955032544848,1299- ST CHARLES VOLTAIRE LIBERTÉ,OPEN
BEAUVAU SUFFREN - RUE BEAUVAU ANGLE RUE BAILLI DE SUFFREN,10,2017-09-29 23:33:10,43.294774773558274,5.375131220340518,1211-BEAUVAU - SUFFREN,OPEN
"Bd du Littoral, 100 m avant le Mucem, devant l’entrée du parking Vieux Port Fort St Jean, direction vieux port",26,2017-09-29 23:34:23,43.2984594666424,5.36291062831879,2200-MUCEM,OPEN
STALINGRAD REFORMES - SQUARE STALINGRAD,17,2017-09-29 23:34:15,43.29952097558015,5.385047448641554,1287- STALINGRAD - RÉFORMÉS,OPEN
PRADO LATIL - 247 AVENUE DU PRADO,10,2017-09-29 23:39:07,43.274352269730755,5.390405906592448,8308-PRADO LATIL,OPEN
397 PRADO - 397 AVENUE DU PRADO,13,2017-09-29 23:41:23,43.26869900851042,5.385552216536626,8202-397 PRADO,OPEN
BELLE DE MAI FRICHE - ANGLE RUE GUIBAL ET RUE JOBIN,15,2017-09-29 23:37:30,43.30958891338201,5.39024943158741,3321 - BELLE DE MAI FRICHE,OPEN
angle rue de rome rue sylvabelle,12,2017-09-29 23:35:50,43.290022,5.381324,06253 - ROME SYLVABELLE,OPEN
PIERRE PUGET BRETEUIL - COURS PIERRE PUGET ANGLE RUE BRETEUIL,8,2017-09-29 23:36:17,43.290329770206334,5.375548341850035,6154-PIERRE PUGET BRETEUIL,OPEN
CANEBIERE DUGOMMIER - LA CANEBIERE ANGLE BOULEVARD DUGOMMIER,10,2017-09-29 23:41:16,43.29789631329341,5.381132215559973,1264 - CANEBIÈRE DUGOMMIER,OPEN
TOULON MENPENTI - ANGLE AVENUE DE TOULON ET RUE MENPENTI,16,2017-09-29 23:32:25,43.284456097132846,5.392112767343369,6206-TOULON - MENPENTI,OPEN
CHAVE EUGENE PIERRE - BOULEVARD CHAVE ANGLE BOULEVARD EUGENE PIERRE,10,2017-09-29 23:31:42,43.295363145406,5.390871390171412,5104-CHAVE EUGÈNE PIERRE,OPEN
